id,package,review,merged_main,merged_second
2c8ab9d3-6879-11e7-ad17-000c29dba5da,cri.sanity,no longer works i use this app for recordings but ever since i got my new nexus 5x it crashes everything i try to use it please fix it,not meaningful,
950cb987-6879-11e7-ad17-000c29dba5da,cri.sanity,causes force close after install can not uninstall not in admin list thank goodness i had a backed up rom,android,
be8f8e94-6879-11e7-ad17-000c29dba5da,cri.sanity,ashleya dont install this app has bugs prevents your screen from sleep will not let u uninstall this apparently no matter how many times u try to uninstall also has virus crash my phone very bad app do not install,feature,
c21cfb1b-6879-11e7-ad17-000c29dba5da,cri.sanity,will not uninstall do not install this app will not stop running and will not uninstall be aware you have now been warned samsung galaxy sll my name is doug wooard and i am not hiding i cannot get this off my phone it can be force closed but comes back on,feature,
d2fe4543-6879-11e7-ad17-000c29dba5da,cri.sanity,amazing program does most of what it says it does never crashed i wish it had better bluetooth control though and also less sensitivity of the proximity sensor,wrong,
a1227cd9-687a-11e7-ad17-000c29dba5da,cri.sanity,this app will not uninstal and crashes my galaxy s and drains my battery,android,
a51d2923-687a-11e7-ad17-000c29dba5da,cri.sanity,kept crashing appeared to record but then i couldnt hear the recording because app would crash,feature,
a7d8036d-687a-11e7-ad17-000c29dba5da,cri.sanity,great response from the development team i submitted a crash report and within minutes they solved it with an update super,wrong,
d1c1fec8-687a-11e7-ad17-000c29dba5da,cri.sanity,do not download i cannot delete this app from my phone when i force close it turns back on to top it off it doesnt announce caller,android,
74bed932-687b-11e7-ad17-000c29dba5da,cri.sanity,does not work htc desire 22 app force close after running configuration then refuses to work cleared cache moved to sd cleared cache still broke,feature,
75064273-687b-11e7-ad17-000c29dba5da,cri.sanity,crashed on the first run,feature,
dce7a573-c8a0-11e6-94bc-fa163e345ce9,org.liberty.android.fantastischmemo,awesome learning app i love learning through this app however when my phone crashed i became helpless i tried saving it on my google drive but i could not view it the way i see it at anymemo tried uploading it on my drop box but it will not allow me to can somebody please help me i lost one semester of notesflashcards for nursing school which i could no longer retrievevery much appreciate any help,feature,
d89c08fc-b258-11e7-bdfa-ea3dca4f3bc7,org.liberty.android.fantastischmemo,very buggy on jelly bean frequent crashes and database corruptions seem to be the norm i had far better luck with anki stabilitywise so im just going to swap back,resource management,feature
dd7e300e-b258-11e7-bdfa-ea3dca4f3bc7,org.liberty.android.fantastischmemo,wellcrafted anymemo features a good design and does what it promises havent occured any crashs either,wrong,
213bedac-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,nice until it crashes full of data i have been using for several years accumulating data today it crashes and i lost all my reports,resource management,
4d0c5b5d-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,average odometer does not let me enter tenths of a mile sometimes the app crashes when i try to enter anything in the extra data field,feature,
78c32789-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,good app suggestions for import improvements pretty good import crashes if there are missing fields app is set to enter volume and total price import with volume and price but no price per unit will end up showing 100 in price per unit editing and saving without change updates to the correct values with only one car you still have to have an id column it could skip this and allow choosing a single car it could recognise names of columns in csv import rather than requiring you to enter them all even if the names match,wrong,
8400f65e-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,cannot import data to g note2 i cant import the data from my old htc thunderbolt to my new galaxy note 2 app force closes during import also no statistic charts or graphs in jelly besn version unlike the gingerbread version which does waiting for developer to respond,resource management,
9b4c181f-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,force close havent been able to add new fillups for the last two updates,update,
a06a84eb-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,ics and jb crashes on my galaxy nexus when loading graphs one of my favorite apps been running it for 2 years,feature,
a6110d77-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,perfect for what i need works perfectly on htc incredible razr maxx i had a little trouble with import so with next phone i simply sent myself the backup file automatically created on old phone dropped it into folder on new phone viola all mileage data is there no crashes,wrong,
c34b5a6e-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,it worked fine until i upgraded it now all it does is stop force close all the time i even tried uninstalling and reinstalling still does not work,update,
c515ba35-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,crash crash does not work on galaxy note force close every time,not meaningful,
